molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism
CHEMBL50412,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCS(=O)(=O)C(C)C,IC50,77.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537666,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCC(N)=O)C(C)C)ccc1OC.Cl,IC50,7.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL538092,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCC(O)CC2)C(C)C)ccc1OC.Cl,IC50,10.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536982,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCSCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL536748,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCOCC2)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL534728,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCO)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537655,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOCC)c1)C(C)C.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL535408,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(=O)OC)c1)C(C)C.Cl,IC50,4.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL537888,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCNC(C)=O)C(C)C)ccc1OC.Cl,IC50,0.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL537668,CNC(=O)CCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens
